MA_Carbohydrate (wt%),MA_Protein (wt%),MA_Lipid (wt%),MA_Ash (wt%),MA_C (wt%),MA_H (wt%),MA_N (wt%),MA_O (wt%),MA_S (wt%),HTL_Temperature (℃),HTL_Pressure (Mpa),HTL_Time (min),HTL_Concentration (wt%),BC_Yield (wt%)
45.6,16.8,24.7,12.9,50.42,7.89,2.91,37.44,0.23,240,,60,10,23
45.6,16.8,24.7,12.9,50.42,7.89,2.91,37.44,0.23,260,,60,10,24.4
45.6,16.8,24.7,12.9,50.42,7.89,2.91,37.44,0.23,300,,60,10,31
45.6,16.8,24.7,12.9,50.42,7.89,2.91,37.44,0.23,240,,5,10,21.2
45.6,16.8,24.7,12.9,50.42,7.89,2.91,37.44,0.23,240,,10,10,22.5
45.6,16.8,24.7,12.9,50.42,7.89,2.91,37.44,0.23,240,,20,10,25.6
45.6,16.8,24.7,12.9,50.42,7.89,2.91,37.44,0.23,240,,30,10,25.2
45.6,16.8,24.7,12.9,50.42,7.89,2.91,37.44,0.23,240,,20,25,25.6
45.6,16.8,24.7,12.9,50.42,7.89,2.91,37.44,0.23,240,,20,14.28571429,26.4
45.6,16.8,24.7,12.9,50.42,7.89,2.91,37.44,0.23,240,,20,7.692307692,28.7
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,150,,10,3.2,6.5
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,150,,100,3.2,6.5
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,200,,3.2,3.4,10.7
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,200,,31.6,3.4,18.6
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,250,,10,3.6,25.6
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,250,,100,3.6,35.1
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,300,,3.2,4,29.5
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,300,,31.6,4,31.7
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,350,,10,5,30.8
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,350,,100,5,30.8
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,150,,10,11.6,8.6
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,150,,100,11.6,9.8
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,200,,3.2,12.2,9.5
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,200,,31.6,12.2,16.6
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,250,,10,13.1,27.9
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,250,,100,13.1,36.4
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,300,,3.2,14.4,33.9
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,300,,31.6,14.4,34
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,350,,10,17.3,39
43.7,41.8,11.6,2.8,51.9,7.3,8.8,24,0.7,350,,100,17.3,34.8
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,150,,1,3.2,11.6
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,200,,3.2,3.4,27.4
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,200,,31.6,3.4,35.2
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,300,,3.2,4,42.3
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,300,,31.6,4,40.6
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,350,,100,5,41.2
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,150,,1,11.6,15
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,200,,3.2,12.2,28.3
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,200,,31.6,12.2,33.9
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,300,,3.2,14.4,43.1
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,300,,31.6,14.4,49.4
44.7,20.1,28.5,6.7,56.2,8,4.2,22.4,0.51,350,,100,17.3,47.9
42.5,43.3,9.4,4.8,51,7.2,9.1,26.5,0.53,200,,31.6,3.4,5.6
42.5,43.3,9.4,4.8,51,7.2,9.1,26.5,0.53,300,,3.2,4,28.8
42.5,43.3,9.4,4.8,51,7.2,9.1,26.5,0.53,300,,31.6,4,34.7
42.5,43.3,9.4,4.8,51,7.2,9.1,26.5,0.53,200,,3.2,12.2,2.9
42.5,43.3,9.4,4.8,51,7.2,9.1,26.5,0.53,200,,31.6,12.2,4.4
42.5,43.3,9.4,4.8,51,7.2,9.1,26.5,0.53,300,,3.2,14.4,30.5
42.5,43.3,9.4,4.8,51,7.2,9.1,26.5,0.53,300,,31.6,14.4,38.2
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,150,,10,3.2,5.1
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,150,,100,3.2,20.8
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,200,,31.6,3.4,22.2
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,250,,1,3.6,19.6
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,250,,10,3.6,22.8
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,250,,100,3.6,29.1
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,300,,3.2,4,35
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,300,,31.6,4,34.6
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,350,,1,5,32.6
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,350,,10,5,33.9
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,350,,100,5,30.3
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,150,,10,11.6,3.4
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,150,,100,11.6,13.3
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,200,,3.2,12.2,17.5
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,250,,100,13.1,25.9
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,300,,3.2,14.4,33.5
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,300,,31.6,14.4,36.7
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,350,,1,17.3,34
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,350,,10,17.3,39.4
61.9,14.7,19.9,3.4,49.9,7.5,3.1,34.6,0.22,350,,100,17.3,36.4
31.4,50.9,5.2,12.5,45.6,6.7,10.7,25.2,0.69,300,,3.2,4,18.3
31.4,50.9,5.2,12.5,45.6,6.7,10.7,25.2,0.69,300,,31.6,4,20.1
31.4,50.9,5.2,12.5,45.6,6.7,10.7,25.2,0.69,350,,100,5,18.5
31.4,50.9,5.2,12.5,45.6,6.7,10.7,25.2,0.69,150,,1,11.6,1.3
31.4,50.9,5.2,12.5,45.6,6.7,10.7,25.2,0.69,200,,3.2,12.2,3.4
31.4,50.9,5.2,12.5,45.6,6.7,10.7,25.2,0.69,200,,31.6,12.2,6
31.4,50.9,5.2,12.5,45.6,6.7,10.7,25.2,0.69,300,,3.2,14.4,21.1
31.4,50.9,5.2,12.5,45.6,6.7,10.7,25.2,0.69,300,,31.6,14.4,22.6
11.9,12.4,26,21,36.98,5.97,7.79,26.97,1.29,275,,30,10,14.04
11.9,12.4,26,21,36.98,5.97,7.79,26.97,1.29,300,,30,10,20.01
11.9,12.4,26,21,36.98,5.97,7.79,26.97,1.29,325,,30,10,29.6
11.9,12.4,26,21,36.98,5.97,7.79,26.97,1.29,350,,30,10,26.1
16.92,61.31,5.87,11.3,43.24,6.7,9.81,40.25,0,180,,30,9.09,5.08
16.92,61.31,5.87,11.3,43.24,6.7,9.81,40.25,0,200,,30,9.09,7.31
16.92,61.31,5.87,11.3,43.24,6.7,9.81,40.25,0,220,,30,9.09,9.44
16.92,61.31,5.87,11.3,43.24,6.7,9.81,40.25,0,240,,30,9.09,11.58
16.92,61.31,5.87,11.3,43.24,6.7,9.81,40.25,0,260,,30,9.09,16.12
19.65,55.38,13.77,7,47.23,6.8,8.86,37.11,0,180,,30,9.09,15.59
19.65,55.38,13.77,7,47.23,6.8,8.86,37.11,0,200,,30,9.09,15.9
19.65,55.38,13.77,7,47.23,6.8,8.86,37.11,0,220,,30,9.09,17.46
19.65,55.38,13.77,7,47.23,6.8,8.86,37.11,0,240,,30,9.09,19.78
19.65,55.38,13.77,7,47.23,6.8,8.86,37.11,0,260,,30,9.09,23.7
27.96,39.31,19.93,9.1,49.27,7.27,6.29,37.17,0,180,,30,9.09,20.4
27.96,39.31,19.93,9.1,49.27,7.27,6.29,37.17,0,200,,30,9.09,22.49
27.96,39.31,19.93,9.1,49.27,7.27,6.29,37.17,0,220,,30,9.09,23.61
27.96,39.31,19.93,9.1,49.27,7.27,6.29,37.17,0,240,,30,9.09,25.35
27.96,39.31,19.93,9.1,49.27,7.27,6.29,37.17,0,260,,30,9.09,25.7
31.85,16.38,41.57,7,52.13,7.24,2.62,38.01,0,180,,30,9.09,42.09
31.85,16.38,41.57,7,52.13,7.24,2.62,38.01,0,200,,30,9.09,43.21
31.85,16.38,41.57,7,52.13,7.24,2.62,38.01,0,220,,30,9.09,42.09
31.85,16.38,41.57,7,52.13,7.24,2.62,38.01,0,240,,30,9.09,44.19
31.85,16.38,41.57,7,52.13,7.24,2.62,38.01,0,260,,30,9.09,43.3
30.44,12.38,45.98,7.4,56.03,8.28,1.98,33.71,0,180,,30,9.09,49.71
30.44,12.38,45.98,7.4,56.03,8.28,1.98,33.71,0,200,,30,9.09,50.24
30.44,12.38,45.98,7.4,56.03,8.28,1.98,33.71,0,220,,30,9.09,50.42
30.44,12.38,45.98,7.4,56.03,8.28,1.98,33.71,0,240,,30,9.09,50.6
30.44,12.38,45.98,7.4,56.03,8.28,1.98,33.71,0,260,,30,9.09,50.65
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,250,,10,20,20.98
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,250,,20,20,24.48
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,250,,30,20,30.71
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,250,,40,20,34.33
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,250,,60,20,34.17
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,300,,10,20,28.22
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,300,,20,20,33.7
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,300,,30,20,35.7
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,300,,40,20,41.59
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,300,,60,20,40.94
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,350,,10,20,45.42
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,350,,20,20,42.37
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,350,,30,20,44.98
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,350,,40,20,46.06
18.5,37.5,14,30,40.49,8.67,3.71,47.13,0,350,,60,20,44.15
20,59,14,7,52.35,7.27,8.88,24.6,0.66,200,,6.833333333,15,12
20,59,14,7,52.35,7.27,8.88,24.6,0.66,200,,14.66666667,15,18
20,59,14,7,52.35,7.27,8.88,24.6,0.66,200,,39.66666667,15,23
20,59,14,7,52.35,7.27,8.88,24.6,0.66,250,,1.333333333,15,12
20,59,14,7,52.35,7.27,8.88,24.6,0.66,250,,4.833333333,15,24
20,59,14,7,52.35,7.27,8.88,24.6,0.66,250,,19.75,15,33
20,59,14,7,52.35,7.27,8.88,24.6,0.66,250,,59.83333333,15,41
20,59,14,7,52.35,7.27,8.88,24.6,0.66,300,,0.25,15,2
20,59,14,7,52.35,7.27,8.88,24.6,0.66,300,,0.416666667,15,2
20,59,14,7,52.35,7.27,8.88,24.6,0.66,300,,0.583333333,15,2
20,59,14,7,52.35,7.27,8.88,24.6,0.66,300,,1.25,15,18
20,59,14,7,52.35,7.27,8.88,24.6,0.66,300,,1.75,15,26
20,59,14,7,52.35,7.27,8.88,24.6,0.66,300,,3.166666667,15,39
20,59,14,7,52.35,7.27,8.88,24.6,0.66,300,,8,15,42
20,59,14,7,52.35,7.27,8.88,24.6,0.66,300,,14.83333333,15,43
20,59,14,7,52.35,7.27,8.88,24.6,0.66,300,,39.66666667,15,38
20,59,14,7,52.35,7.27,8.88,24.6,0.66,350,,0.166666667,15,2
20,59,14,7,52.35,7.27,8.88,24.6,0.66,350,,1.166666667,15,27
20,59,14,7,52.35,7.27,8.88,24.6,0.66,350,,2.083333333,15,37
20,59,14,7,52.35,7.27,8.88,24.6,0.66,350,,4.333333333,15,42
20,59,14,7,52.35,7.27,8.88,24.6,0.66,350,,6.666666667,15,40
20,59,14,7,52.35,7.27,8.88,24.6,0.66,350,,9,15,43
20,59,14,7,52.35,7.27,8.88,24.6,0.66,350,,24.66666667,15,42
20,59,14,7,52.35,7.27,8.88,24.6,0.66,350,,59.75,15,39
20,59,14,7,52.35,7.27,8.88,24.6,0.66,400,,0.25,15,2
20,59,14,7,52.35,7.27,8.88,24.6,0.66,400,,0.416666667,15,2
20,59,14,7,52.35,7.27,8.88,24.6,0.66,400,,0.833333333,15,25
20,59,14,7,52.35,7.27,8.88,24.6,0.66,400,,1.5,15,38
20,59,14,7,52.35,7.27,8.88,24.6,0.66,400,,2.083333333,15,40
20,59,14,7,52.35,7.27,8.88,24.6,0.66,400,,3.416666667,15,45
20,59,14,7,52.35,7.27,8.88,24.6,0.66,400,,5.833333333,15,40
20,59,14,7,52.35,7.27,8.88,24.6,0.66,400,,8.166666667,15,43
20,59,14,7,52.35,7.27,8.88,24.6,0.66,400,,14.83333333,15,36
20,59,14,7,52.35,7.27,8.88,24.6,0.66,400,,39.83333333,15,33
20,59,14,7,52.35,7.27,8.88,24.6,0.66,450,,0.583333333,15,20
20,59,14,7,52.35,7.27,8.88,24.6,0.66,450,,0.916666667,15,33
20,59,14,7,52.35,7.27,8.88,24.6,0.66,500,,0.166666667,15,1
20,59,14,7,52.35,7.27,8.88,24.6,0.66,500,,0.25,15,1
20,59,14,7,52.35,7.27,8.88,24.6,0.66,500,,0.416666667,15,20
37.85,47.8,4.35,10,48.13,5.14,9.99,35.5,1.24,150,,30,20,2.7
37.85,47.8,4.35,10,48.13,5.14,9.99,35.5,1.24,200,,30,20,4.4
37.85,47.8,4.35,10,48.13,5.14,9.99,35.5,1.24,250,,30,20,16.5
37.85,47.8,4.35,10,48.13,5.14,9.99,35.5,1.24,300,,30,20,18.9
42.29,45.1,3.21,9.4,42.4,3.9,9.41,42.93,1.36,150,,30,20,
42.29,45.1,3.21,9.4,42.4,3.9,9.41,42.93,1.36,200,,30,20,2.3
42.29,45.1,3.21,9.4,42.4,3.9,9.41,42.93,1.36,250,,30,20,8.1
42.29,45.1,3.21,9.4,42.4,3.9,9.41,42.93,1.36,300,,30,20,13.98
20,59,14,3,52.56,7.35,8.58,28,0.57,350,,10,14.1,44.6
20,59,14,3,52.56,7.35,8.58,28,0.57,350,,30,14.1,43.7
20,59,14,3,52.56,7.35,8.58,28,0.57,350,,45,14.1,44.7
20,59,14,3,52.56,7.35,8.58,28,0.57,350,,60,14.1,44.1
20,59,14,3,52.56,7.35,8.58,28,0.57,350,,20,8.6,34.8
20,59,14,3,52.56,7.35,8.58,28,0.57,350,,20,11.4,44.8
20,59,14,3,52.56,7.35,8.58,28,0.57,350,,20,16.5,44.7
20,59,14,3,52.56,7.35,8.58,28,0.57,350,,20,18.7,47
11,53,18,18,46,8,10.2,35,0.8,310,,15,20,30
11,53,18,18,46,8,10.2,35,0.8,330,,15,20,32
11,53,18,18,46,8,10.2,35,0.8,350,,15,20,38
11,53,18,18,46,8,10.2,35,0.8,370,,15,20,33
22,58,14,6,42,7,8,40,3,310,,15,20,40
22,58,14,6,42,7,8,40,3,330,,15,20,36
22,58,14,6,42,7,8,40,3,350,,15,20,50
22,58,14,6,42,7,8,40,3,370,,15,20,42
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,300,25,5,15,14.95
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,300,25,10,15,17.09
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,300,25,20,15,17.27
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,300,25,30,15,19.81
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,300,25,40,15,11.76
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,500,25,0.33333,15,3.77
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,500,25,0.5,15,19.47
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,500,25,0.6666,15,21.67
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,500,25,0.8333,15,19.24
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,500,25,1,15,15.76
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,300,25,30,25,23.12
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,300,25,30,20,24.23
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,300,25,30,15,19.79
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,300,25,30,10,16.23
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,300,25,30,5,11.85
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,300,25,30,2,9.81
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,500,25,0.67,30,17.92
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,500,25,0.6666,25,19.44
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,500,25,0.6666,20,21.49
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,500,25,0.6666,15,17.63
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,500,25,0.6666,10,16.58
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,500,25,0.6666,5,16.23
7.2,33.4,9.21,24.3,36.04,5.22,6.98,26.9,0.58,500,25,0.6666,2,15.64
36.4,45.8,14.5,11.7,56.2,6.9,7.7,28.7,0.6,350,,1.4,10,39.7
36.4,45.8,14.5,11.7,56.2,6.9,7.7,28.7,0.6,350,,5.8,10,36.8
10,37.6,30.8,,52.7,7.62,8.2,,,300,45,45,15,28.6
,,20,16.8,37.5,6.47,7.25,27.3,0.83,275,27.3,15,13,34.8
,,20,16.8,37.5,6.47,7.25,27.3,0.83,300,29.2,15,13,36.3
,,20,16.8,37.5,6.47,7.25,27.3,0.83,325,26.8,15,13,36.2
,,20,16.8,37.5,6.47,7.25,27.3,0.83,350,31.4,15,13,38.8
,,20,16.8,37.5,6.47,7.25,27.3,0.83,400,27,15,13,32.9
,,20,16.8,37.5,6.47,7.25,27.3,0.83,420,31,15,13,31.4
,,,29.8,32.33,5.67,3.41,28.79,0,325,19,30,15,34.8
,,,16.6,44.02,5.63,2.9,30.87,0,325,19,30,15,39.6
,,,,52.6,7.35,8.58,27,0.57,350,,10,14.1,44.6
,,,,52.6,7.35,8.58,27,0.57,350,,30,14.1,43.7
,,,,52.6,7.35,8.58,27,0.57,350,,45,14.1,44.7
,,,,52.6,7.35,8.58,27,0.57,350,,60,14.1,44.1
,,,,52.6,7.35,8.58,27,0.57,350,,20,8.6,34.8
,,,,52.6,7.35,8.58,27,0.57,350,,20,11.4,44.8
,,,,52.6,7.35,8.58,27,0.57,350,,20,16.5,44.7
,,,,52.6,7.35,8.58,27,0.57,350,,20,18.7,47
29,11,53,7,,,,,,250,,20,15,27
29,11,53,7,,,,,,250,,30,15,28
29,11,53,7,,,,,,250,,60,15,23
29,11,53,7,,,,,,250,,90,15,27
29,11,53,7,,,,,,300,,10,15,30
29,11,53,7,,,,,,300,,20,15,43
29,11,53,7,,,,,,300,,40,15,46
29,11,53,7,,,,,,300,,60,15,46
29,11,53,7,,,,,,350,,10,15,44
29,11,53,7,,,,,,350,,20,15,48
29,11,53,7,,,,,,350,,40,15,46
29,11,53,7,,,,,,350,,60,15,45
29,11,53,7,,,,,,400,,10,15,44
29,11,53,7,,,,,,400,,20,15,43
29,11,53,7,,,,,,400,,30,15,35
29,11,53,7,,,,,,400,,40,15,40
31,50,8,11,,,,,,250,,20,15,29
31,50,8,11,,,,,,250,,30,15,40
31,50,8,11,,,,,,250,,60,15,31
31,50,8,11,,,,,,250,,90,15,38
31,50,8,11,,,,,,300,,10,15,39
31,50,8,11,,,,,,300,,20,15,38
31,50,8,11,,,,,,300,,40,15,41
31,50,8,11,,,,,,300,,60,15,34
31,50,8,11,,,,,,350,,10,15,41
31,50,8,11,,,,,,350,,20,15,35
31,50,8,11,,,,,,350,,40,15,37
31,50,8,11,,,,,,350,,60,15,42
31,50,8,11,,,,,,400,,10,15,34
31,50,8,11,,,,,,400,,20,15,31
31,50,8,11,,,,,,400,,30,15,30
31,50,8,11,,,,,,400,,40,15,29
,,,9.53,54.12,7.82,6.94,30.66,0.46,240,,60,6.97,18.66
,,,9.53,54.12,7.82,6.94,30.66,0.46,260,,60,6.97,23
,,,9.53,54.12,7.82,6.94,30.66,0.46,280,,60,6.97,24.66
,,,9.53,54.12,7.82,6.94,30.66,0.46,300,,60,6.97,28.66
,,,9.53,54.12,7.82,6.94,30.66,0.46,320,,60,6.97,27.01
,63.7,7.8,,44.4,6.7,9.8,38.3,0.69,363,12.03,52,15.5,40.8
,63.7,7.8,,44.4,6.7,9.8,38.3,0.69,363,11.89,28,15.5,43.5
,63.7,7.8,,44.4,6.7,9.8,38.3,0.69,327,11.33,52,15.5,38.1
,63.7,7.8,,44.4,6.7,9.8,38.3,0.69,327,11.12,28,15.5,38.9
,63.7,7.8,,44.4,6.7,9.8,38.3,0.69,363,11.91,52,9.5,38.7
,63.7,7.8,,44.4,6.7,9.8,38.3,0.69,363,11.78,28,9.5,40.3
,63.7,7.8,,44.4,6.7,9.8,38.3,0.69,327,10.98,52,9.5,37.5
,63.7,7.8,,44.4,6.7,9.8,38.3,0.69,327,10.62,28,15.5,38.8
,63.7,7.8,,44.4,6.7,9.8,38.3,0.69,345,11.34,40,17.5,43.3
,63.7,7.8,,44.4,6.7,9.8,38.3,0.69,345,11.57,40,9.5,38.2
,63.7,7.8,,44.4,6.7,9.8,38.3,0.69,375,12.75,40,12.5,42.6
,63.7,7.8,,44.4,6.7,9.8,38.3,0.69,327,10.91,40,12.5,37.2
,63.7,7.8,,44.4,6.7,9.8,38.3,0.69,345,11.86,60,12.5,38.8
,63.7,7.8,,44.4,6.7,9.8,38.3,0.69,345,11.12,20,12.5,39.2
,63.7,7.8,,44.4,6.7,9.8,38.3,0.69,345,11.32,40,12.5,43.6
,63.7,7.8,,44.4,6.7,9.8,38.3,0.69,345,11.51,40,12.5,44.2
,63.7,7.8,,44.4,6.7,9.8,38.3,0.69,345,11.33,40,12.5,43.9
,63.7,7.8,,44.4,6.7,9.8,38.3,0.69,345,11.36,40,12.5,43.3
,63.7,7.8,,44.4,6.7,9.8,38.3,0.69,345,11.48,40,12.5,44.4
,63.7,7.8,,44.4,6.7,9.8,38.3,0.69,345,11.22,40,12.5,42.9
56.97,14.26,21.76,7,,,,,,200,1.38,30,10,21.16
56.97,14.26,21.76,7,,,,,,225,1.38,30,10,25.72
56.97,14.26,21.76,7,,,,,,250,1.38,30,10,25.4
56.97,14.26,21.76,7,,,,,,275,1.38,30,10,27.24
56.97,14.26,21.76,7,,,,,,300,1.38,30,10,47.43
56.97,14.26,21.76,7,,,,,,330,1.38,30,10,37.66
42.88,44.62,10.7,2.5,,,,,,200,1.38,30,10,12.32
42.88,44.62,10.7,2.5,,,,,,225,1.38,30,10,20.02
42.88,44.62,10.7,2.5,,,,,,250,1.38,30,10,27.9
42.88,44.62,10.7,2.5,,,,,,275,1.38,30,10,32.69
42.88,44.62,10.7,2.5,,,,,,300,1.38,30,10,32.69
42.88,44.62,10.7,2.5,,,,,,330,1.38,30,10,30.64
12.54,19.16,33.15,5.15,53.13,7.33,8.52,30.1,0.98,320,,10,7.74,35
12.54,19.16,33.15,5.15,53.13,7.33,8.52,30.1,0.98,320,,30,7.74,25.6
9.8,58.49,17.59,14.12,47.14,6.94,7.5,37.29,1.12,320,,10,7.74,34
9.8,58.49,17.59,14.12,47.14,6.94,7.5,37.29,1.12,320,,30,7.74,30
,,,5.22,49.21,7.37,9.58,31.23,0.17,280,,,40,54.13
,,,5.22,49.21,7.37,9.58,31.23,0.17,320,,,40,46.1
,,,5.22,49.21,7.37,9.58,31.23,0.17,280,,,80,42.03
,,,5.22,49.21,7.37,9.58,31.23,0.17,320,,,80,32.05
,,,5.22,49.21,7.37,9.58,31.23,0.17,250,,,60,48.48
,,,5.22,49.21,7.37,9.58,31.23,0.17,350,,,60,36.97
,,,5.22,49.21,7.37,9.58,31.23,0.17,300,,,20,43.23
,,,5.22,49.21,7.37,9.58,31.23,0.17,300,,,100,23.83
,,,5.22,49.21,7.37,9.58,31.23,0.17,300,,,60,41
